order,product_name,quantity,check,notes,created_at
#13423,Aris Dress French Stripe - S,1,False,,2025-04-21T04:35:09+10:00
#13424,Farfalla Midi Dress Black - XS,1,False,,2025-04-21T04:50:19+10:00
#13424,Zulu Wrap Dress in Copper - XS,1,False,,2025-04-21T04:50:19+10:00
#13434,Collo Alto Top Navy - L,1,False,,2025-04-21T14:58:42+10:00
#13434,Giorno Pant Black - L,1,False,,2025-04-21T14:58:42+10:00
#13435,Rhea Skirt Royal Natural - S,1,False,,2025-04-21T17:57:47+10:00
#13436,Zulu Wrap Dress in Copper - M,1,False,,2025-04-21T21:39:44+10:00
#13443,Zulu Wrap Dress in Copper - XS,1,False,,2025-04-22T04:41:19+10:00
#13450,Collo Alto Top Khaki - M,1,False,,2025-04-22T16:10:53+10:00
#13450,Agio Top Natural Beige - M,1,False,,2025-04-22T16:10:53+10:00
#13476,Zado Dress Navy - XS,1,False,,2025-04-24T08:42:59+10:00
#13480,Nuvola Top Black - XL,1,False,,2025-04-24T10:43:13+10:00
#13480,Zafran Midi Skirt in Navy - L/XL,1,False,,2025-04-24T10:43:13+10:00
#13480,Lior Skirt Khaki - XL,1,False,,2025-04-24T10:43:13+10:00
#13490,Zado Dress Navy - S,1,False,,2025-04-25T00:16:26+10:00
#13495,Zulu Wrap Dress in Copper - XS,1,False,,2025-04-25T01:24:42+10:00
#13522,La Classica Shirt Black - M,1,False,,2025-04-27T01:37:56+10:00
#13522,La Classica Shirt White - M,1,False,,2025-04-27T01:37:56+10:00
#13540,Zulu Wrap Dress in Natural - S,1,False,,2025-04-28T06:40:40+10:00
#13547,Cora Wrap Dress Black - S,1,False,,2025-04-28T19:53:41+10:00
#13547,Zulu Wrap Dress in Copper - S,1,False,,2025-04-28T19:53:41+10:00
#13570,Zado Dress Navy - S,1,False,,2025-04-30T01:05:35+10:00
#13585,Cora Wrap Dress Black - S,1,False,,2025-04-30T13:36:14+10:00
#13585,Cora Wrap Dress Khaki - S,1,False,,2025-04-30T13:36:14+10:00
#13594,Aris Dress French Stripe - XL,1,False,,2025-05-01T03:01:28+10:00
#13594,Aris Dress French Stripe - L,1,False,,2025-05-01T03:01:28+10:00
#13622,Eda Midi Wrap Dress Brown Espresso - M,1,False,,2025-05-02T03:38:44+10:00
#13622,Hemming Midi Dress White - M,1,False,,2025-05-02T03:38:44+10:00
#13639,Rhea Gilet Royal Natural - XL,1,False,,2025-05-03T03:26:08+10:00
#13639,Aurore Midi Dress Black - XL,1,False,,2025-05-03T03:26:08+10:00
#13639,Aurore Midi Dress Black - L,1,False,,2025-05-03T03:26:08+10:00
